rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor
RGI60-06.00001,2000-01-01_2010-01-01,4903000.0,-0.7324,0.2675,6,False
RGI60-06.00001,2000-01-01_2020-01-01,4903000.0,-0.2688,0.1339,6,False
RGI60-06.00001,2010-01-01_2020-01-01,4903000.0,0.1947,0.2402,6,False
RGI60-06.00002,2000-01-01_2010-01-01,1897000.0,-0.5944,0.2954,6,False
RGI60-06.00002,2000-01-01_2020-01-01,1897000.0,-0.3145,0.1478,6,False
RGI60-06.00002,2010-01-01_2020-01-01,1897000.0,-0.0345,0.2783,6,False
RGI60-06.00003,2000-01-01_2010-01-01,751000.0,-0.5396,0.3092,6,False
RGI60-06.00003,2000-01-01_2020-01-01,751000.0,-0.1778,0.1521,6,False
RGI60-06.00003,2010-01-01_2020-01-01,751000.0,0.184,0.2973,6,False
RGI60-06.00004,2000-01-01_2010-01-01,67000.0,-0.1689,0.4405,6,False
RGI60-06.00004,2000-01-01_2020-01-01,67000.0,0.0809,0.2349,6,False
RGI60-06.00004,2010-01-01_2020-01-01,67000.0,0.3307,0.4468,6,False
RGI60-06.00005,2000-01-01_2010-01-01,978000.0,-0.3947,0.2892,6,False
RGI60-06.00005,2000-01-01_2020-01-01,978000.0,0.0399,0.1413,6,False
RGI60-06.00005,2010-01-01_2020-01-01,978000.0,0.4744,0.2945,6,False
RGI60-06.00006,2000-01-01_2010-01-01,912000.0,-0.6122,0.3167,6,False
RGI60-06.00006,2000-01-01_2020-01-01,912000.0,-0.2881,0.1548,6,False
RGI60-06.00006,2010-01-01_2020-01-01,912000.0,0.036,0.3084,6,False
RGI60-06.00007,2000-01-01_2010-01-01,2712000.0,-0.8239,0.2975,6,False
RGI60-06.00007,2000-01-01_2020-01-01,2712000.0,-0.4495,0.1521,6,False
RGI60-06.00007,2010-01-01_2020-01-01,2712000.0,-0.0752,0.2647,6,False
RGI60-06.00008,2000-01-01_2010-01-01,2166000.0,0.0188,0.279,6,False
RGI60-06.00008,2000-01-01_2020-01-01,2166000.0,-0.1537,0.1551,6,False
RGI60-06.00008,2010-01-01_2020-01-01,2166000.0,-0.3262,0.2737,6,False
RGI60-06.00009,2000-01-01_2010-01-01,448000.0,0.0008,0.3549,6,False
RGI60-06.00009,2000-01-01_2020-01-01,448000.0,-0.1985,0.1884,6,False
RGI60-06.00009,2010-01-01_2020-01-01,448000.0,-0.3978,0.338,6,False
RGI60-06.00010,2000-01-01_2010-01-01,1000000.0,-0.2924,0.3164,6,False
RGI60-06.00010,2000-01-01_2020-01-01,1000000.0,-0.3987,0.1659,6,False
RGI60-06.00010,2010-01-01_2020-01-01,1000000.0,-0.505,0.283,6,False
RGI60-06.00011,2000-01-01_2010-01-01,258000.0,0.0398,0.3858,6,False
