year,rgi_id,mass_balance
1940,RGI60-06.00001,934.3051588755576
1941,RGI60-06.00001,-161.06442734940728
1942,RGI60-06.00001,994.0001743790368
1943,RGI60-06.00001,1503.971921662431
1944,RGI60-06.00001,1174.2525123992364
1945,RGI60-06.00001,701.464427933872
1946,RGI60-06.00001,1268.794211191215
1947,RGI60-06.00001,461.0495799251016
1948,RGI60-06.00001,1986.3646256938755
1949,RGI60-06.00001,392.9128002341319
1950,RGI60-06.00001,105.10800602691448
1951,RGI60-06.00001,119.1511547941031
1952,RGI60-06.00001,742.6517557071222
1953,RGI60-06.00001,840.2892386422945
1954,RGI60-06.00001,1182.908334824697
1955,RGI60-06.00001,-85.27655658654713
1956,RGI60-06.00001,1265.5329847034418
1957,RGI60-06.00001,524.0168774024219
1958,RGI60-06.00001,252.91345099613577
1959,RGI60-06.00001,1409.9921205297358
1960,RGI60-06.00001,161.3028008669918
1961,RGI60-06.00001,764.3997753257607
1962,RGI60-06.00001,1754.5298592557538
1963,RGI60-06.00001,1621.7158684304798
1964,RGI60-06.00001,1360.2168660809812
1965,RGI60-06.00001,1040.3382365589991
1966,RGI60-06.00001,644.0511716497991
1967,RGI60-06.00001,803.7437929654182
1968,RGI60-06.00001,683.7305426435992
1969,RGI60-06.00001,1024.8839418949806
1970,RGI60-06.00001,1082.3437320462876
1971,RGI60-06.00001,1181.0617933402727
1972,RGI60-06.00001,1189.3990511751028
1973,RGI60-06.00001,1614.5619166385566
1974,RGI60-06.00001,1142.4411026612868
1975,RGI60-06.00001,1779.8637877458875
1976,RGI60-06.00001,1029.4406077837414
1977,RGI60-06.00001,313.3735593903375
1978,RGI60-06.00001,761.2279652650554
1979,RGI60-06.00001,1096.8545949571264
1980,RGI60-06.00001,116.55077579419886
1981,RGI60-06.00001,565.9725090834578
1982,RGI60-06.00001,1038.550796472189
1983,RGI60-06.00001,1831.0807297292704
1984,RGI60-06.00001,1071.691812462681
1985,RGI60-06.00001,542.8293143046619
1986,RGI60-06.00001,818.4298920532912
1987,RGI60-06.00001,277.19318452046707
1988,RGI60-06.00001,683.1722776112337
1989,RGI60-06.00001,1218.820470554258
1990,RGI60-06.00001,399.24782032184737
1991,RGI60-06.00001,667.6883052251059
1992,RGI60-06.00001,1777.7783297490084
1993,RGI60-06.00001,1292.968820795492
1994,RGI60-06.00001,222.9985505399347
1995,RGI60-06.00001,50.57459575771146
1996,RGI60-06.00001,-738.5429569101556
1997,RGI60-06.00001,359.85759201909497
1998,RGI60-06.00001,-138.04246593280757
1999,RGI60-06.00001,-39.74255333751578
2000,RGI60-06.00001,-182.4749218609436
2001,RGI60-06.00001,-302.67048393444674
2002,RGI60-06.00001,-218.1443919265536
2003,RGI60-06.00001,-696.56589804316
2004,RGI60-06.00001,-221.2576791909811
2005,RGI60-06.00001,71.96662350365432
2006,RGI60-06.00001,328.5929579733605
2007,RGI60-06.00001,342.5478155718921
2008,RGI60-06.00001,-901.2591001322044
2009,RGI60-06.00001,-176.97868099759535
2010,RGI60-06.00001,-1938.997481592126
2011,RGI60-06.00001,429.9536013847043
2012,RGI60-06.00001,-249.0310638945714
2013,RGI60-06.00001,216.10312665114208
2014,RGI60-06.00001,-1089.0973612679886
2015,RGI60-06.00001,496.0884041086331
2016,RGI60-06.00001,-785.972520865626
2017,RGI60-06.00001,-893.3737769195554
2018,RGI60-06.00001,1185.64112322136
2019,RGI60-06.00001,-791.0702917890013
2020,RGI60-06.00001,397.4659374516678
2021,RGI60-06.00001,255.1011607126776
2022,RGI60-06.00001,94.05442348864295
2023,RGI60-06.00001,-156.66017215266274
2024,RGI60-06.00001,628.813292036191
2025,RGI60-06.00001,-820.1633001578662
1940,RGI60-06.00002,934.2150477411146
1941,RGI60-06.00002,-35.11368818028532
1942,RGI60-06.00002,855.8233872842665
1943,RGI60-06.00002,1249.6053243454396
1944,RGI60-06.00002,907.388866910592
1945,RGI60-06.00002,638.8082325034148
1946,RGI60-06.00002,1256.012340500494
1947,RGI60-06.00002,559.6818274065931
1948,RGI60-06.00002,1438.8026573239408
1949,RGI60-06.00002,322.89271424559894
1950,RGI60-06.00002,1.641102943010599
1951,RGI60-06.00002,153.09220975556252
1952,RGI60-06.00002,636.6759030664665
1953,RGI60-06.00002,495.1271761830394
1954,RGI60-06.00002,962.7307367244828
1955,RGI60-06.00002,58.35187087710785
1956,RGI60-06.00002,1056.6090757621444
1957,RGI60-06.00002,324.56469309127823
1958,RGI60-06.00002,182.03721858848823
1959,RGI60-06.00002,1386.7469318755377
1960,RGI60-06.00002,344.0279658491402
1961,RGI60-06.00002,792.7439053628586
1962,RGI60-06.00002,1462.9719788548782
1963,RGI60-06.00002,1369.6569339769476
1964,RGI60-06.00002,1165.4436431575934
1965,RGI60-06.00002,947.3566904306274
1966,RGI60-06.00002,661.5721535428511
1967,RGI60-06.00002,765.2659359409025
1968,RGI60-06.00002,638.7200347993806
1969,RGI60-06.00002,903.2882534775262
1970,RGI60-06.00002,1055.1420774631772
1971,RGI60-06.00002,986.3029547727792
1972,RGI60-06.00002,1266.7322717636057
1973,RGI60-06.00002,1312.0782521018116
1974,RGI60-06.00002,901.3408610363958
1975,RGI60-06.00002,1344.7036643759557
1976,RGI60-06.00002,958.0279722442856
1977,RGI60-06.00002,449.4977216566162
1978,RGI60-06.00002,574.9766905550453
1979,RGI60-06.00002,921.0309694565594
1980,RGI60-06.00002,60.64695736729097
1981,RGI60-06.00002,489.4035392891312
1982,RGI60-06.00002,755.4735534252255
1983,RGI60-06.00002,1672.9796276100888
1984,RGI60-06.00002,878.0677779332221
1985,RGI60-06.00002,535.0005364985478
1986,RGI60-06.00002,761.0531430961192
1987,RGI60-06.00002,135.5340119046439
1988,RGI60-06.00002,660.0644376391776
1989,RGI60-06.00002,1055.818395717512
1990,RGI60-06.00002,255.30487228887893
1991,RGI60-06.00002,334.6321449943615
1992,RGI60-06.00002,1432.5894659457874
1993,RGI60-06.00002,1117.0676296262598
1994,RGI60-06.00002,208.7543501993498
1995,RGI60-06.00002,67.28294010190473
1996,RGI60-06.00002,-649.4843738389279
1997,RGI60-06.00002,253.51371049792064
1998,RGI60-06.00002,-148.79393858040197
1999,RGI60-06.00002,57.98622096714644
2000,RGI60-06.00002,-173.09194939146934
2001,RGI60-06.00002,-234.2630481338936
2002,RGI60-06.00002,-163.541837813198
2003,RGI60-06.00002,-725.6136012418388
2004,RGI60-06.00002,-456.2389990706551
2005,RGI60-06.00002,-142.77882173270385
2006,RGI60-06.00002,168.6490511487947
2007,RGI60-06.00002,75.40178193810158
2008,RGI60-06.00002,-867.2007634019287
2009,RGI60-06.00002,-199.93923600875584
2010,RGI60-06.00002,-1747.427023644399
2011,RGI60-06.00002,152.58783375475682
2012,RGI60-06.00002,-483.6864175632888
2013,RGI60-06.00002,107.1191858628244
2014,RGI60-06.00002,-992.0589397092856
2015,RGI60-06.00002,317.56247291307
2016,RGI60-06.00002,-644.0286981781403
2017,RGI60-06.00002,-649.5730431904922
2018,RGI60-06.00002,940.8634995204764
2019,RGI60-06.00002,-572.7414460579753
2020,RGI60-06.00002,420.15245561896353
